"=""Recurso""";"=""Simulado"""
"=""120250 - CHAPA #11(3,04) A36/CIVIL300""";"3,5"
"=""120273 - CHAPA FQ  3,75mm. SAE-1006""";"0,72"
"=""120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010""";"37,98"
"=""124576 - ACO TREFILADO QDR   3/8   1045""";"0,02"
"=""110012 - ACO LAMINADO RED 2.1/2    1045""";"539"
"=""110322 - ACO LAMINADO RED 1.3/4    1020""";"5,19"
"=""110346 - ACO LAMINADO RED 2        1020""";"103,11"
"=""110358 - ACO LAMINADO RED 2        1045""";"79,572"
"=""110980 - ACO LAMINADO RED 1.3/4    1045""";"50,88"
"=""112150 - ACO TREF. RED. SAE-1045 - 1""""""";"41,2044"
"=""112203 - ACO TREF. RED. SAE-1020 - 1/2""""""";"105,686"
"=""112215 - ACO TREF. RED. SAE-1020 - 1""""""";"6,63"
"=""112306 - ACO TREF. RED. SAE-1045 - 1.1/4""""""";"55,72"
"=""112434 - ACO TREF. RED. SAE-1020 - 3/4""""""";"97,6112"
"=""112458 - ACO TREF. RED. SAE-1020 - 3/8""""""";"3,816"
"=""112501 - ACO TREF. RED. SAE-1020 - 5/16""""""";"0,66"
"=""112525 - ACO TREF. RED. SAE-1020 - 5/8""""""";"15,34"
"=""116611 - COMP. NAVAL SOMASSOALHO 3090 X 1795 X 20MM""";"3"
"=""116612 - COMP. NAVAL SOMASSOALHO 3070 X 450 X 20MM""";"6"
"=""116613 - COMP. NAVAL SOMASSOALHO 1890X 450 X 20MM""";"6"
"=""120054 - CHAPA GQ   5/8 (15,8)     1010""";"12,046"
"=""120121 - CHAPA FF #18   (1,21)     1010""";"11,04"
"=""120134 - BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300""";"7092,752"
"=""120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300""";"2401,95"
"=""120137 - BOBINA CHAPA LQ 2.00 X 1,50 A36/CIVIL300""";"560,21"
"=""120157 - CHAPA GQ   3/8 (9,53)     1010""";"788,628"
"=""120202 - CHAPA 1/4 (6.30 x 2440 x 6000) A36-CIVIL300""";"28,88"
"=""120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010""";"2807,669"
"=""120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300""";"3972,64"
"=""120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300""";"5181,28"
"=""120352 - CHAPA GQ   1/2 (12,7)     1010""";"179,84"
"=""120545 - BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300""";"989,2716"
"=""120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300""";"1069,12"
"=""120549 - BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300""";"46,46"
"=""120650 - CHAPA GQ   5/16(7,94)     1010""";"923,58"
"=""120900 - CHAPA FF #20   (0,91)     1010""";"6,96"
"=""126202 - A�O CHATO LAM 1/2 X 3"""" SAE-1020""";"7,98"
"=""126214 - A�O CHATO LAM 1/2  X 3.1/2  1020""";"7,92"
"=""126226 - A�O CHATO LAM 5/8 X 3"""" SAE-1020""";"6,18"
"=""126457 - A�O CHATO LAM 3/8 X 2 SAE-1020""";"8,58"
"=""126615 - A�O CHATO LAM 3/4 X 2"""" SAE-1020""";"1,28"
"=""126706 - A�O CHATO LAM 5/8 X 2.1/2 SAE-1020""";"7,71"
"=""126755 - A�O CHATO LAM 1"""" X 3"""" SAE-1020""";"196,34"
"=""126901 - A�O CHATO LAM 3/4 X 3 SAE-1020""";"18,016"
"=""134017NAC - TUBO RETANGULAR 150 X 100 X 6.35 X 6000""";"1046,96"
"=""134018NAC - TUBO RETANGULAR 200 X 100 X 4.75""";"168,9"
"=""134020NAC - TUBO QUADRADO 100 X 100 X 4,75""";"14,8"
"=""134030 - TUBO MEC STAND 101.60 X 6.30""";"3,21"
"=""134055NAC - TUBO QUADRADO 120 X 120 X 8.00""";"1094,16"
"=""134060 - TUBO RET  50 X 30 X 2.00MM TAM. 6 METROS""";"60,3192"
"=""134062NAC - TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm""";"1365,4"
"=""134063NAC - TUBO RETANGULAR 100 X 80 X 4.75""";"21,2"
"=""134066 - TUBO RET  50 X 30 X 2.00MM TAM. 5 METROS""";"88,1592"
"=""134107 - TUBO SCHEDULLE 80 - 4""""""";"2,52"
"=""134132 - TUBO MECANICO  32 X  20  ST-52""";"16,72"
"=""134144 - TUBO SCHEDULLE 80 - 2""""""";"45,25"
"=""134157 - TUBO MECANICO  50 X  32  ST-52""";"18,69"
"=""134170 - TUBO SCHEDULLE 80 - 1.1/2""""""";"1,86"
"=""134212 - TUBO MECANICO  56 X  40  ST-52""";"41,04"
"=""134224 - TUBO MECANICO  71 X  43  ST-52""";"5,352"
"=""134375 - TUBO     1/2       DIN 2440""";"56,904"
"=""134387 - TUBO SCHEDULLE 40 - 3/8"""" S/C  5 METROS""";"129,6"
